fra	nnb
Voulez-vous contrôler les pneus ?	 Unyanzir’iwa leby’ebiringo ?
Tu n'aimes pas le chien de Tom.	Siwanzir’endeghetheghe ya Toma.
Je n'ai pas du tout peur des chiens.	Sindyubah’esyondeghetheghe.
Je devais rencontrer quelqu'un pour des affaires.	Nangasungir’omundu busana ne myatsi mingi.
Quel âge a ce livre?	Ekithab'eki kiwithe ebirimo bingahi ?
La plupart des gens aiment regarder la telé.	Abandu bangi banzir’erilheby’ebisesani.
Nous sommes pauvres, mais heureux.	Thuli bera, alhiwe thunatsemire.
Je parle anglais, et toi, quelle langue parles-tu ?	Ngabugh’ekingeresa. Nagh’ukavugh'omú̧bu̧ge ki ?
Quel sorte de jeu est-ce ?	Nibitsange muhandaki ?
Mon père travaille dans une usine.	Thatha waghe akakoler'omo kibuthe.
Il aime lire des livres.	Anzir’erisom’ebithabu.
La vie n'est pas figée.	Eribyaho sikumbo.
Il posa le livre sur la table.	Neryo mwikiry’ekithabu kyoko butara.
Bien qu'il ne fût qu'un enfant, il était très courageux.	Mwali'anabya mwana,aby’inya with’omuhwa.
Regarde ces nuages noirs.	Lhebay’obutuku obw’yomwirima.
Pourquoi les hommes ne sont-ils jamais heureux ? Parce qu'ils veulent toujours l'impossible.	Busanak’abandu sibalhi bathatsema ? Kusangwa bakanz’ebithevyangatokekana.
On est ici, à l'office de tourisme. Vous voyez ?	Thune hano ahalh’ebisenge byabangubya. Mwana masamalhira ?
Il est revenu du Canada.	Aby’abirilw’e Canada.
Ils sont en salle des professeurs.	Ban’omobisenge byabakangirirya.
Nous y allons seuls.	Thuka yayo ithwé benebene.
Mon front brûlait de fièvre.	Embú̧mo yaghe yabya iyihuhene.
Dan a été vu pour la dernière fois avec un jean bleu et une veste en cuir noir.	Yo Dan mwarangwa nerikothiry'engobi yomulhima.
Elle vivait la porte à côté de chez nous.	Inyakabuk’oholuthambi kohoka.
Sa mère a frappé à la porte.	Nyinya wiwe mw'akongot’okó lú̧kyô.
Je ne peux pas l'abandonner.	Sinanga muleka.
Nous n'avons aucune raison d'avoir honte.	Sihalhi ekyangalheka itwakwisoni.
À sept heures je serai de nouveau là.	Oko sahanguma ngiby’inyin’eyo buhyaka .
Elle n'est plus seule maintenant.	Omumbesa Lhino syakiri iyuwene.
Nous tînmes parole.	Mutwimya ekinywa.
Qu'est-ce qui se passe, ici ?	Hano, hamabya ki ?
L'as-tu fait toi-même ?	Ighunalhyakolakyo?
C'est la vie.	Ryeribyaho.
Oh ! c'est trop mignon !	Ayo ! Ki ghambire !
Je n'ai pas envie de rentrer à la maison!	Singwith’endundi yerisuba omo maka!
Je ne savais pas que Tom dormait.	Sinyilwe nyasi ngongo yo Toma alw’inyanetho.
De quoi avez-vous peur ?	Ukakwa buba bwaki ?
Dans cette boîte, je me sentais comme un poisson hors de l'eau.	Omorisanduk'eri, nyilwe ngayowa ngesamak’eyi kith’omomaghetse.
Je pense que Tom est blessé.	Ngalengekanaya Toma abiri huthala.
La vie est dure pour tout le monde.	Eribyaho ryobulhimundu rikalhire.
J'ai peur des ours.	Ngwir'obuba bwesyo nyama.
Elle a remporté le premier prix de la course.	Omumbesa mwahekir’olusathi lwe syondivitho.
J'ai du travail par-dessus la tête.	Nangwith’omukolano.
N'as-tu pas une réunion ?	Sighuwith’olukuratho ?
Monte le son de la musique !	Sumba akalhikilhiki !
Tu vas manquer le train si tu ne te dépêches pas.	Kola lubalub’ukasyathalhy’engurubani.
Non, ça ne me plait pas tant que ça.	Iyihi, sikyathanzemesya.
Peut-être a-t-il manqué le train.	Mbino abiri thalhy’engurubani ?
Puis-je savoir où vous travaillez ?	Nanganaminy’ey’ukakolhera.
Les progrès de l'homme sont sans limites.	Obukake bomundu sibunawith’omwiso.
Je vous demande pardon. Je ne pense pas que cela soit votre siège.	Ngakusab’obughanyiri. Sinyilhengekeny'obo nivwikalo bwaghu.
Tom aurait dû manger plus.	Yo Toma angalhire bingi.
C'est de la faute de Tom.	Nilolo rya Toma.
Nous mangeâmes des fruits frais après le déjeuner.	Motwalya ebighum’enyuma syerirya akalyo komo mitsangé.
Il n'est rien d'autre qu'un enfant.	Nimwana.
Mets de l'eau dans ton vin.	Leka olutseghetseghe.
C'était pour rire ?	Kilwe kyerisekya ?
Je veux fonder une famille.	Nyanzire inahir’omukali na bana.
Quel est ton restaurant de fast food préféré?	Byahi'ebisenge bwaghu ebyeriliramo?
Un café, ça te dirait ?	Twanganaya nyw'akawa ?
Je viens juste d'apprendre que mon hôtel favori a fait faillite.	Namowa ngoko lutere lwaghe lwabirithera.
Un jour tu comprendras.	Ukasyaminya kiro kighuma.
Je me rappelle l'avoir rencontrée quelque part.	Namibuka, muna musangana.
Reste hors de ma vue !	Ulw'omomes'waghe !
Combien y a-t-il de sortes ?	Hali mihanda mingahi ?
J'ai dansé.	Monga satha.
S'il a eu dix sur dix à l'examen, c'est parce qu'il a triché.	Amaby'imwakabya n’erikumi okwikum'inikusangwa mwakiba.
Tom a gardé son chapeau sur la tête.	Toma mwakaleka esapwê yiyeyokomuthwe.
Je n'ai jamais dit cela à personne auparavant.	Embere naby’isindi nathambwir’ekyo kyomundu.
La pire amie et ennemie n'est nulle autre que la mort.	Enziwu lono luholo.
Femme au volant, mort au tournant.	Omukali akenday'engurubani, no luholo hakuhi.
« J'ai rêvé de toi, hier. » « Sérieux ? Et je faisais quoi ? »	« Munakulothire, muligholo. » « Kwenene ? Ininga kola ki ? »
Fermez la trappe.	Mukinge olukyo.
Tu aimerais ça.	Wangananzir’eki.
Je n'arrive pas à croire que nous ayons finalement terminé le projet.	Sinyilengekanye tukaby'itwa biriluma ekisunzwa kyetu.
La campagne a été une réussite et il a gagné les élections.	Ewanzirendi moyathokire kandi kandi mwaka kinda obusomboli.
Je dois m'occuper de quelque chose.	Nanganakola kindu.
Je pense que sa proposition mérite réflexion.	Ngalengekanay'obulengekanya bwiwe bwangathimbwako.
Je vais corriger ceci.	Nangasya kokotya kino.
Nous vivons à proximité de la grande bibliothèque.	Tukabuka ahakuhi nekisenge kyebitabu.
Je vais vous en montrer quelques-uns.	Nikukanjya kwebighumabighuma.
Nous devons mettre à jour notre méthode pédagogique.	Twanga bindula emihanda yetu eyerikangirirya.
Les prix sont élevés ces jours-ci.	Okobiro bino akathalhi kahetukire.
Quand est-ce que t’as acheté ce portable ?	Waghul’ekisengula eki kyo mughulu wahi ?
Parfois, je souhaiterais être un petit oiseau.	Kanzi kanzi, nganza eribya nyunyunge.
Cela est tellement gênant.	Ekyo kika lheth’obulundu.
Un homme avec le ventre plein pense que personne n'a faim.	Omundu oyughuthir’akalhengekanaya ngosihali omundu oyu kwir’embetya.
J'aimerais vous donner un conseil.	Nianzir'inakuha erihano.
Tom ne m'a pas vraiment manqué.	Monyititha kw'olukando lwa Toma.
Nous vous avons gardé un siège juste là.	Mothukakusighir’ekibethe kyo halya.
Ce n'est pas quelque chose que je sais faire.	Sikindu ekyonyas’erikola.
Ils réfléchissent trop.	Bakalhengekanya bingi.
Dans cette bibliothèque, il y a beaucoup de livres.	Omu nyumb'eyi, muswir'ebithabu bingi.
Je n'ai même pas de petit ami.	Singwithe nomwira.
Tu t'aimes.	Uyanzire.
L'adolescent-pilote autour du monde est mort.	Obusuko bukasondiolhibawa nekihugho bukahola.
Y a-t-il quelque chose de nouveau au menu ?	Hane bihyaka ?
Ça ne sera pas facile.	Sikyendi tokekana.
Pourriez-vous me réveiller demain matin à sept heures moins le quart, s'il vous plaît ?	Wanganasya mbukya omonjyakya okosaha nguma eyibulhireko amathondi ikum'ni ?
Un voyage de mille milles commence par un simple pas.	Olughendo lwabandu bangi lukatsuk’okokika kighuma.
Au son du sifflet, le bateau commença à s'éloigner du port.	Okomulhenge womulhinga,eryatho moryatsuk’eribya halhioko rubaho.
Si tu te trouves piégé par un ours dans la forêt, ta meilleure option est de te mettre au sol et de faire le mort.	Wama rangik’ihutheghire nenyama yomoli, kumbe uwayithek’okokithaka ngoyuholire.
Mon oncle Bob a réparé mon horloge et maintenant elle indique l'heure correctement.	Nyoko byala waghe, Bob abya birikanisa akaghanza butuku kaghe na hathya kanemukangya endambi.
L'âme qui désire que Dieu se rende entièrement à elle, doit se rendre entièrement à lui sans rien garder pour elle.	Ekirimuekyanz’omuhangiki kikayisubiramo butsir’erisyayibika mokindu.
Allez, Joe. Ne joue pas au pantouflard. Viens à la fête avec nous ! Quand tu as dit à Nancy qu'elle était si grosse, tu as vraiment appuyé là où ça fait mal.	Joe, ghenda. Isiwasata okwebi. Asa tughende oko kisendebele. Omughul’ukambwira yo Nancy ngoko abya mungaha,ukabya iwama muthonika.
La logique et le bon sens suggèrent que la Russie, l'Union Européenne et les États-Unis doivent agir ensemble.	Emithondere ikabugha ithi,eburusi,nobughuma bwebulaya nobwe bihugho bwamerika byangakolera haghuma.
Vous avez notre permission pour inclure notre logiciel à condition de nous fournir une copie du produit final.	Munawith’ehamulhi yeringiz’ekilope kyethu nakandi imwathuh’ekyakarikyamukyo.
George Bush est le 41e président des États-Unis.	Sórosi Bushi yo mwimaniri wa makumyani nomughuma wobughuma  bwebihugho bye buamerika.
De mon côté, je ne voyage pas pour aller quelque part. Je voyage pour voyager. Le principal est de se bouger.	Okwinge, sindighenda handu. Nga balama okw'ibalama. Ekya ndundi niseghera.
Un nom respectable - monnaie au cours vraiment substantiel qui se négocie admirablement pour qui comprend comment la présenter.	Erina risikirwe - rineng'olubwele oko banasi eri lukangya nero baka lembalo, banabandu abaasi endundi yalo.
Dan a vendu de la drogue à un dangereux trafiquant de drogue.	Yo Danieli mwaka hinganay’eloho okomundu oyutuwene.
C'est l'humanité qui a perdu l'homme. Dire que cet idiot-là aurait pu être le plus heureux des animaux, s'il avait su se tenir tranquille. Mais non... il a inventé la civilisation.	Ekihugho kyokyaheraya omundu. Eribugha uthi omuthaku olhy’angatsemire kulab’esyonyama, angabere amatghok’erisighala bukuthu. Iyehee, mwa tsukisy'ekisungu.
Ma carte de crédit a été rejetée par le distributeur de billets.	Enyondi yaye m yika hana erikol'omo kighona kyo lubwele.
Ce n'est pas comme si nous devions vendre des trucs, tu vois ?	Sibwambu tuka ghulaya ebindu, wanama langira ?
Une entente parfaite entre la théorie et la pratique est quelque chose de rare.	Eki handikirwe sitiri sosa ekikakolawa.
Compter les moutons aide à s'endormir.	Erighanz'esho mbuli, rika watikya eri ghotsera.
Mon thérapeute m'a dit de me rendre dans un bar et d'entamer une conversation avec quelqu'un qui me soit tout à fait étranger.	Omuthawa waghe mwambirir'athi nyighende omo kirabo neritsuka erikanya nomundu oyonyithasi.
Tu dois t'agenouiller à mes pieds, me baiser la main et jurer que je suis un ange.	Kumbe iwayikehya, nerindyatsira okobyala neryo iwalapa kwindi malaika.
Je n'oublierai jamais de garder dans mon cœur une douce pensée pour ma chère professeur.	Sinandisibirirwa eribika omuthima waghe nobulhengekanya oko mukangirirya waghe.
Un homme qui peut conduire prudemment en embrassant une jolie dame ne consacre tout simplement pas au baiser l'attention qu'il mérite.	Omundu oyowangaghendya ndeke inyanemu kumbathir'omukalhi; syangatsomana erilyatsira erimutholhera.
Elle sortit la bouteille de champagne qu'elle avait gardée pour un événement particulier.	Neryomwalusya etsupa eyebulhendi eyabya inyabiribikira erithegheko erisikire.
Ce qui est permis à Jupiter n'est pas permis au bœuf.	Ekihamulhirwe oko yupitero sikihamulhirwe okonde.
J'aimerais que les passants arrêtent de jeter leurs canettes vides et autres ordures sur le sentier de montagne.	Sinyanzire abalabi bakusa,nerighusanga ebirindikabyab' omonzira eyo kokitwa.
Dans le système judiciaire américain, il y a douze personnes dans un jury.	Omonzira eyobusosi eyobwamerika, mulhi bandwikumi nabiri nomusosi mughuma .
Supposer que la justice fasse cela, c'est détruire le principe de son existence qui est la chose elle-même.	Erilhengekanya kobusosi bwangakola omubiri wabo,ni sambula ebighendererwako beribyaho bikuhabo kikabya ekyenebindu ikyo kikyenekyene.
Merci pour votre généreuse invitation mais nous ne voulons pas abuser de votre hospitalité.	Wasingya okwibirikiryaghu halhiwe sitwanzir'eritsanga omo bukokya bwawe.
La mutuelle de l'entreprise couvre l'ensemble des frais médicaux.	Obughuma bukalhiha esyosende esyosi silebire  amabalhya wabafanyakasi.
En Inde, la vache est un animal sacré.	Ebuhindi, ende ninyamo eyibuyirire.
Le nombre de personnes sur Facebook est supérieur à la population des États-Unis d'Amérique.	Abandu abalhi okokisesengula kye facebuke nibanji oko bahimbani abomo bughuma  bye bihugho  byebuamerika.
Dans ma vie quotidienne, je prends soin de mon corps de diverses manières afin de ne pas endommager ma santé.	Omo buyingo bwaghe wosi, nganza obuyonzo, kundi issi nyita obunyaghasa bwaye.
L'attitude du tribunal envers les jeunes criminels est différente de celle qu'il a envers les criminels adultes.	Obusosi sibuyitwa olughumerera oko musuko ngembere esyabithi bakulubakulu.
L'ensemble des nombres réels est un exemple typique de corps.	Obughuma bwemighanzo eyekwenene nikilhebelhyo  kyerighenderako.
A cheval donné on ne regarde pas les dents.	Sibelhebaya ameno awésabayıŗ́i nyirebe.
Un capitaine est chargé de ce bateau et de son équipage.	Omukulu yuwithe obuthoki boko ryatho eri nabaghendi.
Finalement, en 1314, ces jeux devinrent si violents et dangereux que le roi Edouard II créa une loi.	Okondulya, okomwaka we kighonye kighuma mughanasa erikuminini, amasatha ayo mwakala erihika okolulhengo neryo omwami Dware mwa hiraho mughambo.
C'est seulement quand je ne peux pas dormir la nuit que le tic-tac de l'horloge devient assez bruyant pour m'embêter.	Yenesahanga bul'ehitsori, momughulu e thi thai yakaghanza buthuku yikanyilhewisaya.
Nous ne serons jamais trop prudents pour faire fonctionner une centrale nucléaire.	Sitwendisyathabya nabwiheghereryo omwikolesya eributhe kyekighuma.
Il m'adressa un courrier pour m'informer que son élevage de poulets ferait faillite tôt ou tard.	Neryo mwanyiandikira akambwira okobilhebirye olútúngo lwiwelwesyongoko, aka mbwir'athi esyosende syaherir'emo.
Nous avons tendance à penser que notre temps nous appartient seulement le dimanche et pendant les vacances.	Thukalhengekanaya thuthi mbino endambi ikabya yethu omoyenga nomonduhuke.
Les enfants commencent par aimer leurs parents ; après un temps ils les jugent ; rarement, voire jamais ils ne leur pardonnent.	Abana bakatsuk'eryanza ababuthi babo; habiwa biro neryo ibaba hira okobusosi; kwabuke; nibyasibeghanyirabo.
En regardant les fleurs j'ai pensé soudain que les êtres humains aussi avaient un bon côté. Ce sont eux qui ont découvert la beauté des fleurs et ce sont aussi les humains qui peuvent l'apprécier.	Omwilangir'amawa, nabyangalhengakanya indimbwino ebi hangikwa byabya ibanawithe oluhande oluwene. Nibo benye bayafumbúla obubuya  bwamawa nakandi ngoko abandu kobabangana simakyo.
J'ignore s'il est doté de pouvoirs spéciaux ou pas, mais il est sans doute plus fort qu'un humain normal.	Sindengekenye akabya nakaghala akasikire kutse, haliwe akalhire kulaba omundu oyuluyirene.
Ces feuilles vertes deviennent rouges ou jaunes à l'automne.	Ebithi ebi bikabya ngomugombwê kutse ngomúlyánzúki omughulu wo miwisi.
Ce passage est le plus technique de ce morceau de piano. J'ai mis beaucoup de temps avant de savoir le jouer.	Akasimo kano kokakilire omo pianoeyi. Monabugha ebiro binzi emberenyithokeyo.
Je mis mes doigts dans mes oreilles pour éviter ces bruits terribles.	Neryo munahira eminwe yaghe yomomatwi ngasaghe olukanda.
Une langue acérée est plus dangereuse qu'un couteau acéré.	Olulhimi olukabughabinzi, lulhengire omuhamba owathwire.
Le propriétaire de ce bar ne vend jamais d’alcool à crédit.	Omuny'ekiraboeki kasyalhighulaya obulendi bweriyibweka.
Trouver une solution qui fonctionnait fut un processus expérimental.	Erisunga ebya byabyatholere, yabyanzira nyiri.
Jane doit arrêter de céder à son désir de chocolat.	Yo Jane kumbe inyumbya okongumbu siwe syeriri'esyosokola.
La première fois que tu rencontres une personne, tu devrais être attentive à la proximité avec laquelle tu te tiens par rapport à elle.	Ekiro ukandisunga omundu, wangakolire kundu eribya luhande okwiyo okwikwamana nohoanimene.
Manger de la glace me met toujours de bonne humeur.	Erirya eglace rikalheterabutseme bunzi.
Le crime aurait été parfait si le voleur n'avait pas oublié d'essuyer ses empreintes digitales.	Obuithi bwangaberendeke omuhungura ngwatha sangula ebisasamira biwe.
La statue de la liberté est un symbole de l'Amérique.	Ekisasamira kyobwiranda nikiminyikalo kyo buamerika.
M. Johnson a subitement changé d'avis et a signé le contrat.	Mulumuna Yohani mwalwa binduka obulhengekanya nerilwa na senya ekipapura kyobunwani.
Un coup de tonnerre soudain le réveilla.	Efuy'oyobutuku moyamubukya.
Nous avons actuellement aux États-Unis plus de gardes de sécurité pour les riches que de services de police pour les pauvres.	Lhino thuwithe ebuamerika yabalhasi bobutheya banzi aba katheghaya  abatheke nabobupolisi bakatheghaya abakubiri.
L'état ne devrait pas supprimer des droits civiques, il devrait les protéger !	Obuthabali sibwangihireho esyombanzwa syabahimbani, yangatheghiryesyo !
Mario, arrête de me traiter d'homo! Je suis hétéro !	Maria, lhekinlengekania nga nyiri ngomundu oyuka ghotsera nabalume nginje ! Indi mundu oyukalhunga noghundi mundu !
As-tu conscience du rapport entre la fumée du tabac et le cancer du poumon?	Ounasi ndeke kohane obughobyo omokathi  komuki wethaba nakásowésowê komobyahaha?
Les données à discuter ci-dessous ont été collectées de la manière suivante.	Ebyo thuka kanayak'ohondatha kobya kumawa bitya.
De nombreuses personnes ne le comprennent jamais et terminent avec un emploi au gouvernement. Comment ils font ça restera toujours un mystère.	Abandu banzi sibwawakyo neryobakahika okokik'ebabugha nomubiri omobuthabalhi . Bakakola kyo bathi kikandisyasighala kithikothiko.
M. Brun est jaloux du succès de son collègue.	Mulumuna Buruna alhineritsur'okomenge homwira wiwe.
Un entrepôt plein de feux d'artifice a explosé et a détruit un pâté de maison entier.	Ekighona  kyesyo tahu tahu syamasatha moyikahutukamo muliro neritsandy'enyumba yossi.
La parade était menée par un orchestre militaire.	Erihindana riryasondolhibawa nendeko yabalhasi.
Bob a dit à Jane de ne pas se mêler de ses affaires.	Bobo mwabwire Jane athisyase akatsomana ebikuwiwe.
Un énorme cri d'encouragement s'éleva de la foule.	Omulhenge munene oghomuhwa mwasira omokathi kendeko.
En découvrant que les autres avaient réussi, elle devint verte de jalousie.	Erisya birinya kwabandi mubakathoka, neryo busana nekigha, mwahinduka.
Les oiseaux, par exemple, ont un système particulier de protection.	Ngesyonyunyu, kwa mufano, siwithe mitsungire yayoyayo yeriyitsunga.
