fra	swc	swc_clean
Tom n'a jamais été au zoo.	Tom haja wai kwenda kuona wanyama.	Tom haja wai kwenda kuona wanyama.
Je me sentais mal, aussi je fus admis à l'hôpital. Cependant, il s'avéra qu'il n'y avait rien qui n'allait réellement pas chez moi.	Nilikuwa nasikia vibaya, na nilikuwa nili lazwa ku hospitali. Kwa sasa, hakuna kitu inaendelea kwake.	Nilikuwa nasikia vibaya, na nilikuwa nili lazwa ku hospitali. Kwa sasa, hakuna kitu inaendelea kwake.
Nous l'avons attendu jusqu'à deux heures du matin et sommes finalement allés nous coucher.	Tuli mngoja mu saa mbili za asubui na tuli enda kulala.	Tuli mngoja mu saa mbili za asubui na tuli enda kulala.
Quelle est cette chose dans ta main droite ?	Nini iko mkononi mwako wa kuhume?	Nini iko mkononi mwako wa kuhume?
Ne vas-tu pas dire quelque chose ?	Hutaki kusema kitu yoyote?	Hutaki kusema kitu yoyote?
Le chat s'est tiré.	Paka ili jitoa.	Paka ili jitoa.
Il a remplacé la cloche par une lumière.	Ali badilisha saa na mwangaza.	Ali badilisha saa na mwangaza.
À chacun le sien.	Kila mtu kivyake.	Kila mtu kivyake.
J'aurais dû vous le dire auparavant.	Nilitaka kukuambia mapema.	Nilitaka kukuambia mapema.
Je ne crois pas que Tom puisse parler français.	Siku fikiria Tom anaweza sema Kifaransa.	Siku fikiria Tom anaweza sema Kifaransa.
J'ai un secret.	Niko na siri.	Niko na siri.
Je sais ce qui ne va pas.	Najua tatizo.	Najua tatizo.
J'éteins la lumière.	Nazi-misha mwangaza.	Nazi-misha mwangaza.
Je resterai ici toute l'année.	Nili baki hapa mwaka mzima.	Nili baki hapa mwaka mzima.
Tom s'est décidé de partir à l'étranger.	Tom ali hamua kwenda mu inchi ya kigeni.	Tom ali hamua kwenda mu inchi ya kigeni.
C'est là qu'on commence à s'amuser.	Pale ndio tulianza kuchezea.	Pale ndio tulianza kuchezea.
Tom est à l’hôpital depuis trois mois.	Tom iko ku hospitali imekuwa miezi tatu.	Tom iko ku hospitali imekuwa miezi tatu.
Ce n'est qu'après avoir quitté l'école que je me rendis compte de l'importance des études.	Kisha kumaliza masomo ndo nili kuja kujua umuhimu wa masomo.	Kisha kumaliza masomo ndo nili kuja kujua umuhimu wa masomo.
Bientôt, le son s'évanouit.	Kisha, sauti ika potea.	Kisha, sauti ika potea.
Je croyais que c'était vrai.	Nili fikiria ni ukweli.	Nili fikiria ni ukweli.
Il ne s'agit pas d'une question de bien ou de mal, mais de meilleur ou de pire.	Haku kuwa juu ya nini muzuri au mbaya, lakini muzuri zaidi na safi.	Haku kuwa juu ya nini muzuri au mbaya, lakini muzuri zaidi na safi.
C'étaient les meilleures années de ma vie.	Ilikuwa mwaka muzuri mu maisha yangu.	Ilikuwa mwaka muzuri mu maisha yangu.
Tom n'avait pas l'air offensé.	Tom hakukuwa na sura ya asira.	Tom hakukuwa na sura ya asira.
Tu veux dire que tu abandonnes tout simplement ?	Unataka kusema kuwa uma acha tu?	Unataka kusema kuwa uma acha tu?
Si je pouvais te tuer, je le ferais.	Ningetaka ku-huwa, ninge fanya ivyo.	Ningetaka ku-huwa, ninge fanya ivyo.
Est-ce qu'on commence maintenant ?	Tuna hanza sasa?	Tuna hanza sasa?
Tom la regarde sans rien dire.	Tom alimwangalia bila kusema kitu.	Tom alimwangalia bila kusema kitu.
Je fais à peu près le même poids que je faisais l'année dernière à la même époque.	Niko na uzito kama ule nilikuwa nao mwaka jana wakati kama huu.	Niko na uzito kama ule nilikuwa nao mwaka jana wakati kama huu.
J'essayais de te parler.	Nilijaribu kukuambia.	Nilijaribu kukuambia.
Transmets mes meilleurs vœux à Peter.	Peleka pongezi zangu kwa Petro.	Peleka pongezi zangu kwa Petro.
Certaines personnes aiment le sport, d'autres non.	watu wamoja wanapenda mazoezi, wengine hapana.	watu wamoja wanapenda mazoezi, wengine hapana.
Tu l'as déjà dit.	Ulisha isema.	Ulisha isema.
J'ignore comment traiter ceci.	nime sahau kufanya hivi.	nime sahau kufanya hivi.
Ce ne fut pas une décision facile.	si uamuzi raisi.	si uamuzi raisi.
On a besoin de moi ici.	Wana niitaji hapa.	Wana niitaji hapa.
Je suis blessé.	nime humia.	nime humia.
J'en suis sûr à 99%.	Niko na uhakika 99%.	Niko na uhakika 99%.
Tom n'avait pas envie de jouer au golf.	Tom hakukuwa na nia yaku cheza gofu.	Tom hakukuwa na nia yaku cheza gofu.
Ce n'était pas une victoire complète.	Si ushindi kamili.	Si ushindi kamili.
Je suis certainement reconnaissant pour toute votre aide.	Na shukuru usaidizi wako.	Na shukuru usaidizi wako.
Tom n'a pas dit grand-chose.	Toma hasemi kitu kubwa.	Toma hasemi kitu kubwa.
Je vois la lune et le soleil.	Naona mwezi na jua.	Naona mwezi na jua.
Voulez-vous de la soupe ou de la salade comme plat d'accompagnement?	Unataka supu au mboga kama saani yaku sindikiza?	Unataka supu au mboga kama saani yaku sindikiza?
Il fait chaud.	Kuna joto.	Kuna joto.
Ça fonctionnera.	Ita fanya kazi.	Ita fanya kazi.
Maintenant elle comprend ce que je veux dire.	Sasa anaelewa nini natafuta kusema.	Sasa anaelewa nini natafuta kusema.
Elle écrit à son fils de temps en temps.	Ana handikia mutoto yake kila mara.	Ana handikia mutoto yake kila mara.
Je ne peux pas le juger à sa juste valeur.	Siwezi kujua uwezo na uzuri wake.	Siwezi kujua uwezo na uzuri wake.
De quelle couleur est ta maison ?	Nyumba yako ni ya rangi gani?	Nyumba yako ni ya rangi gani?
Tom voulait acheter un manteau de fourrure pour Mary.	Toma alikuwa anataka ku uzia Mary koti kubwa.	Toma alikuwa anataka ku uzia Mary koti kubwa.
Combien de fleurs jaunes y a-t-il là ?	Kuna mauwa ngapi ya kinjani pale?	Kuna mauwa ngapi ya kinjani pale?
Reste là où je peux te voir.	Kaa mahali nitaweza kukuona.	Kaa mahali nitaweza kukuona.
J'aime bien compulser mon vieux journal intime.	Nataka kutafuta gazeti yangu ya zamani.	Nataka kutafuta gazeti yangu ya zamani.
J'ai cassé mes lunettes.	Nili vunja miwani yangu.	Nili vunja miwani yangu.
Ces frères se détestent.	wa ndugu zake wana chukiana.	wa ndugu zake wana chukiana.
Ce fut une bassesse.	Ni kukosa heshima.	Ni kukosa heshima.
Ne te soumets pas à ces exigences.	Usikubali ma shurti zake.	Usikubali ma shurti zake.
J'apprécie tous mes cours.	Napenda masomo yangu yote.	Napenda masomo yangu yote.
Elle veut te parler.	Anataka kusema na weye.	Anataka kusema na weye.
J'ai entendu l'histoire.	Nilisikia historia.	Nilisikia historia.
Entrez dans mon bureau s'il vous plait.	Ingia mu ofisi yangu tafadhali.	Ingia mu ofisi yangu tafadhali.
Ils sont partis en vacances ensemble.	Walienda mu mapumziko pamoja.	Walienda mu mapumziko pamoja.
Je ne me souviens pas d'avoir eu des jouets quand j'étais petit.	Siku kuwa na vitu yaku chezea nilipo kuwa mutoto.	Siku kuwa na vitu yaku chezea nilipo kuwa mutoto.
Tu dois me dire quoi faire.	Uta nia-mbia nifanye nini.	Uta nia-mbia nifanye nini.
Vous êtes une personne très généreuse.	Uko mtu muzuri sana.	Uko mtu muzuri sana.
Les enfants les plus âgés aidaient les plus jeunes.	Watoto wakubwa wana saidia watoto wadogo.	Watoto wakubwa wana saidia watoto wadogo.
Vivez.	Kuishi.	Kuishi.
Tom n'oubliera jamais tout le temps qu'il a passé avec Marie.	Tom hawezi ku sahau wakati yote alikuwa na Marie.	Tom hawezi ku sahau wakati yote alikuwa na Marie.
Je pense qu'il faut dire à Tom de ne pas faire ça.	Nafikiri huwezi kuambia Tom asifanye ile.	Nafikiri huwezi kuambia Tom asifanye ile.
Présente-moi à tes parents quand tu te sentiras prête.	Ni peleke ku wazazi wako ukiwa tayari.	Ni peleke ku wazazi wako ukiwa tayari.
Je vous suggère de partir.	Naomba uende.	Naomba uende.
Nous n'avons que trois heures.	Tuko na masaa tatu tu.	Tuko na masaa tatu tu.
Le voyage dans le temps est impossible.	Safari ku hii muda ni ngumu.	Safari ku hii muda ni ngumu.
Comme c'est spacieux!	Kama iko muimu sana!	Kama iko muimu sana!
Comment commence votre lundi ?	Uta hanza siku yako ya kwanza aje?	Uta hanza siku yako ya kwanza aje?
Mon père m'a dit de ne pas lire de livres dans mon lit.	Baba yangu alisema nisi some vitabu mu kitanda yangu.	Baba yangu alisema nisi some vitabu mu kitanda yangu.
Il n'est pas ce qu'on appelle un gentleman.	Haiko mtu muzuri.	Haiko mtu muzuri.
Tom connaît beaucoup de chansons.	Tom ana jua nyimbo mingi.	Tom ana jua nyimbo mingi.
J'ai acheté un système antivol pour ma moto.	Nili huza kitu yaku zuia kuiba pikipiki yangu.	Nili huza kitu yaku zuia kuiba pikipiki yangu.
Je ne sais pas quoi répondre.	Sijui nini ya kusema.	Sijui nini ya kusema.
J'ai tellement soif.	Niko na kiu.	Niko na kiu.
Il sait que tu le sais.	Anajua kama unajua.	Anajua kama unajua.
Ma chambre est toujours bien rangée.	Chumba yangu ina pangwa vizuri.	Chumba yangu ina pangwa vizuri.
Jane est une fille incroyablement attirante.	Jane ni msichana mrembo sana.	Jane ni msichana mrembo sana.
Tom n'est plus un enfant.	Tom si mutoto.	Tom si mutoto.
C'est ainsi qu'il l'apprécie.	Hivi ndio ninapenda.	Hivi ndio ninapenda.
Dites-moi lequel des deux appareils photo est le meilleur.	Niambie ni gani mu hizi kamera mbili ndo muzuri.	Niambie ni gani mu hizi kamera mbili ndo muzuri.
Merci pour ton aide.	Asante kwa usaidizi yako.	Asante kwa usaidizi yako.
Sers-toi, mange ce que tu veux.	Kamata, kula ile unataka.	Kamata, kula ile unataka.
Quand je vis cela, j'en eus le souffle coupé.	Nilipo ona vile, nili ishiwa na uhamuzi.	Nilipo ona vile, nili ishiwa na uhamuzi.
Je crois que Tom dort encore.	Nafikiri Toma bado ana lala.	Nafikiri Toma bado ana lala.
Le problème est en train d'être discuté par eux.	Tatizo ina ongelewa na habo.	Tatizo ina ongelewa na habo.
Je ne laisserai pas ceci se produire.	Sita acha hii iji tokeleze.	Sita acha hii iji tokeleze.
Il conduit souvent la voiture de son père.	Ana tembeza gari ya baba yake.	Ana tembeza gari ya baba yake.
Je n'aime pas être traité de cette manière.	Sitaki kuchukuliwa kama na vile.	Sitaki kuchukuliwa kama na vile.
Ce n'est pas moi qui ai commencé la dispute.	Si mimi nili hanza kugombana.	Si mimi nili hanza kugombana.
C'est vraiment très ennuyeux.	Ni yaku kasirisha kabisa.	Ni yaku kasirisha kabisa.
Ma montre doit retarder.	Saa yangu inapaswa kuchelewa.	Saa yangu inapaswa kuchelewa.
La mort est le moment durant lequel tu ne peux plus revivre. Tu ne peux pas mourir, ni retourner à la vie. Si tu penses que c'est arrivé, c'est que tu n'étais pas vraiment mort.	Kufa ndo wakati hauwezi kuishi tena. Hauwezi kufa, ama kurudi kuwa na uzima. Kama uli ona itafika, basi hakuwa ume kufa.	Kufa ndo wakati hauwezi kuishi tena. Hauwezi kufa, ama kurudi kuwa na uzima. Kama uli ona itafika, basi hakuwa ume kufa.
Tom ne croyait pas Mary quand elle lui disait qu'elle était amoureuse de lui.	Tom haja amini Mary wakati alisema ana mpenda.	Tom haja amini Mary wakati alisema ana mpenda.
Dans chaque vie, il faut que tombe un peu de pluie.	Katika maisha yote, inabidi mvua inyeshe.	Katika maisha yote, inabidi mvua inyeshe.
George est d'une nature très honnête.	George ni mwaminifu sana.	George ni mwaminifu sana.
Je ne veux pas savoir ce qu'il va se passer.	Sitaki kujua nini ita tokea.	Sitaki kujua nini ita tokea.
Il m'a appris à nager.	Ali ni-fundisha ku ogelea.	Ali ni-fundisha ku ogelea.
Il se rend souvent à l'école à pied.	Ana henda ku masomo lwa migulu.	Ana henda ku masomo lwa migulu.
Est-ce que tu nous dis la vérité ?	Una tu-ambia ukweli?	Una tu-ambia ukweli?
Aucun médicament ne peut guérir cette maladie.	Hakuna dawa inaweza ponya hii ugonjwa.	Hakuna dawa inaweza ponya hii ugonjwa.
J'en ai pris plein la gueule.	Nili chukua mdomo mzima.	Nili chukua mdomo mzima.
Trouve-moi un verre.	Nitafutie kikombe.	Nitafutie kikombe.
N’avez-vous rien d’autre à dire ?	Hauna kitu ya kusema?	Hauna kitu ya kusema?
Je suis désolé, mais vous n'avez pas le droit de téléphoner ici.	Na shangaa, Lakini hauna haki yaku piga simu hapa.	Na shangaa, Lakini hauna haki yaku piga simu hapa.
Sors le vélo du chemin !	Toa kinga mu njia!	Toa kinga mu njia!
La parti a toujours raison.	Iko na sheria.	Iko na sheria.
C'est dommage, mais ton personnage se fait tuer au début de la pièce.	Pole, ila nafasi yako ina kufa mbele ya kuanza.	Pole, ila nafasi yako ina kufa mbele ya kuanza.
Tu ne devrais pas te moquer de son erreur.	Hu staili kushangalia na makosa yake.	Hu staili kushangalia na makosa yake.
Même toi, tu es un type qui ne sait pas quand laisser tomber.	Hata weye, uko mtu haujui ku sahau.	Hata weye, uko mtu haujui ku sahau.
Elle est descendue à la station suivante.	Alishuka ku kituo kilicho fuata.	Alishuka ku kituo kilicho fuata.
Tu as des yeux mignons.	Uko na macho muzuri.	Uko na macho muzuri.
Cet endroit est parfait.	Hii fasi ni muzuri.	Hii fasi ni muzuri.
J'attendrai dehors.	Nita ngoja inje.	Nita ngoja inje.
Je ne suis pas trop fatigué.	Siku choka.	Siku choka.
Je désire une chaise.	Natamani kiti moja.	Natamani kiti moja.
Tom espère visiter Boston l'été prochain.	Tom anapenda kwenda Boston mwaka kesho.	Tom anapenda kwenda Boston mwaka kesho.
Je n'y travaille plus.	Si tumiki huko tena.	Si tumiki huko tena.
Qui appelez-vous maintenant ?	Una ita nani sasa?	Una ita nani sasa?
Tom est allergique à l'alcool.	Tom hapendi pombe.	Tom hapendi pombe.
Ne va pas là.	Usi ende pale.	Usi ende pale.
Dans la nuit, un coup de feu retentit.	Usiku, moto uli waka.	Usiku, moto uli waka.
C'est justement la raison pour laquelle je n'ai aucun intérêt pour l'art.	Ndio sababu si tamani ufundi.	Ndio sababu si tamani ufundi.
Tout le monde avait peur.	Kila mtu ali ogopa.	Kila mtu ali ogopa.
Je ne sais pas comment gérer ça.	Sijui vile kufanya hii.	Sijui vile kufanya hii.
C'est ma première fois alors je suis un peu nerveux.	Ni mara yangu ya kwanza lakini naogopa.	Ni mara yangu ya kwanza lakini naogopa.
Pourquoi dois-tu le faire ?	Kwanini unapaswa kuifanya?	Kwanini unapaswa kuifanya?
Cela leur a pris un moment avant de s'habituer les uns aux autres.	Ili wachukua muda kabla waanze kuzoeana.	Ili wachukua muda kabla waanze kuzoeana.
Je t'aiderai du mieux que je peux.	ita kusaidia vile naweza.	ita kusaidia vile naweza.
Je ne gère pas bien la solitude.	Sipendi upweke.	Sipendi upweke.
Comment veux-tu te concentrer sur tes devoirs avec la télé allumée ?	Unataka kufanya kazi na runinga umewasha?	Unataka kufanya kazi na runinga umewasha?
Je sais que Tom n'est qu'un enfant.	Najua Tom si mutoto.	Najua Tom si mutoto.
Chaque année, le printemps nous apporte de la douceur.	Kila mwaka, upepo una tu-tuliza.	Kila mwaka, upepo una tu-tuliza.
Donne-lui une bonne moitié.	Patia kiwango kidogo kizuri.	Patia kiwango kidogo kizuri.
Je ne trouve pas le mot pour exprimer ce que je ressens.	Sina neno la kusema kuhusu vile na fikiria.	Sina neno la kusema kuhusu vile na fikiria.
Je ressens la conscience du devoir.	Nafikiria kuhusu kazi.	Nafikiria kuhusu kazi.
Je n'étais pas en mesure de susciter le moindre changement dans sa façon de penser.	Sikuwa na weza kufanya mabadiliko hata kidogo ku vile ana fikiria.	Sikuwa na weza kufanya mabadiliko hata kidogo ku vile ana fikiria.
Il se sent chez soi.	Ana ji-sikia kwake.	Ana ji-sikia kwake.
J'en veux davantage.	Naipenda.	Naipenda.
Tom aurait pu se blesser aujourd'hui.	Tom ange ji umiza leo.	Tom ange ji umiza leo.
Nous avons arrangé les fleurs.	Tuli panga mauwa.	Tuli panga mauwa.
C'est juste ce dont tu as besoin maintenant.	Una itaji usaidizi huu sasa.	Una itaji usaidizi huu sasa.
Nous savons que vous n'êtes pas stupides.	Tunajua hauko mjinga.	Tunajua hauko mjinga.
Tu es une bête ! Tu ne t'es pas trompé sur la moindre question !	Uko mjinga! Hawa kudanganyika ku swali kidogo!	Uko mjinga! Hawa kudanganyika ku swali kidogo!
Rira bien qui rira le dernier.	Uta cheka vizuri uki cheka wa mwisho.	Uta cheka vizuri uki cheka wa mwisho.
Tom dit qu'il pense que c'est une perte de temps de voter.	Tom ana ona kupiga kura ni kupoteza muda.	Tom ana ona kupiga kura ni kupoteza muda.
Je ne l'ai pas acheté parce que c'était trop cher.	Siku huza sababu ilikuwa bei mingi.	Siku huza sababu ilikuwa bei mingi.
Il a des vertiges.	Ako na kizunguzungu.	Ako na kizunguzungu.
Tom a dit qu'il aimerait une autre tasse de café.	Tom amesema kwamba anapenda kikomba ingine ya kahawa.	Tom amesema kwamba anapenda kikomba ingine ya kahawa.
Il est dans le service depuis cinquante ans.	Iko mu huduma ku miaka ma kumi tano.	Iko mu huduma ku miaka ma kumi tano.
Je veux connaître le groupe sanguin de Tom.	Nataka kujua kikundi ya damu ya Tom.	Nataka kujua kikundi ya damu ya Tom.
Il est deux heures du matin.	NI saa nane za usiku.	NI saa nane za usiku.
Tom n'était pas chez lui aujourd'hui.	Tom hakuwa kwake leo.	Tom hakuwa kwake leo.
Il aida les pauvres durant toute sa vie.	Ali saidia maskini mu maisha yake yote.	Ali saidia maskini mu maisha yake yote.
Tom ne veut pas parler avec toi.	Tom hataki kusema na weye.	Tom hataki kusema na weye.
Je pense que nous devrions faire ça.	Naona tuna paswa kufanya vile.	Naona tuna paswa kufanya vile.
C'est parce qu'il m'aime.	NI sababu ana ni penda.	NI sababu ana ni penda.
Tom est déjà dans l'avion.	Tom iko mu ndege tayari.	Tom iko mu ndege tayari.
Dis-moi juste quand tu veux partir.	Niambie uki taka kuenda.	Niambie uki taka kuenda.
Tu es plus que bienvenu.	Una karibishwa sana.	Una karibishwa sana.
Tom est complètement déconcerté.	Tom haiko maanani.	Tom haiko maanani.
Mike ne peut pas avoir fait une chose pareille.	Mike hawezi fanya kitu kama hiki.	Mike hawezi fanya kitu kama hiki.
Présente tes excuses.	Sema sababu.	Sema sababu.
Ne ferions-nous pas mieux de partir tôt ?	Haitakuwa vizuri kuenda mapema?	Haitakuwa vizuri kuenda mapema?
Tom était naïf.	Tom alikuwa mwoga.	Tom alikuwa mwoga.
Cette photo me ramène à mon enfance.	Hii picha ina ni kumbusha utoto wangu.	Hii picha ina ni kumbusha utoto wangu.
Pourquoi est-ce que les enfants laissent leurs vêtements sur le plancher après les avoir enlevés?	Kwanini watoto wana acha nguo zao ku miti baada yaku zi anua?	Kwanini watoto wana acha nguo zao ku miti baada yaku zi anua?
Pourquoi les gens se suicident-ils ?	Kwanini watu wana ji uwa?	Kwanini watu wana ji uwa?
Le mieux est de laisser couler l'eau.	Vizuri niku wacha maji i teremke.	Vizuri niku wacha maji i teremke.
Je la connais très bien.	Namjua vizuri sana.	Namjua vizuri sana.
Elle respire encore.	Ana pumua bado.	Ana pumua bado.
Je pense que nous devrions parler à Tom.	Na fikiri tuna paswa ku ongea na Tom.	Na fikiri tuna paswa ku ongea na Tom.
C'était une expérience assez incroyable.	Ni uzoefu wa ajabu.	Ni uzoefu wa ajabu.
J'ai continué à chanter.	Nili endelea kuimba.	Nili endelea kuimba.
Comment ça a bien pu se passer ?	Ili pita namna gani?	Ili pita namna gani?
Tom veut autre chose.	Tom ana penda kitu ingine.	Tom ana penda kitu ingine.
Je vais te préparer quelque chose à manger.	Nita kutengenezea kitu ya kula.	Nita kutengenezea kitu ya kula.
L'obscurité sera à mon avantage.	Giza haitakuwa muzuri kwangu.	Giza haitakuwa muzuri kwangu.
Il m'a embrassé sur le front.	Ali ni kumbatia ku uso.	Ali ni kumbatia ku uso.
Je veux apprendre à chanter comme vous.	Nataka nijifunze kuimba kama weye.	Nataka nijifunze kuimba kama weye.
Tu dois te dépêcher.	Una paswa ku harakisha.	Una paswa ku harakisha.
Je voulais retourner à votre village.	Nataka kurudia ku mjini.	Nataka kurudia ku mjini.
Il a beaucoup neigé l'année passée.	Kulikuwa barafu mingi mwaka jana.	Kulikuwa barafu mingi mwaka jana.
J'ai essayé de la prévenir.	Nili jaribu ku zuia.	Nili jaribu ku zuia.
La raison de ton échec est que tu n'as pas assez essayé.	Sababu ya kukosa yako ni kuto jaribu mara mingi.	Sababu ya kukosa yako ni kuto jaribu mara mingi.
