fra	swc	swc_clean
Arrête de te la raconter ! Tu n'aurais pas les moyens d'acheter une maison pareille.	Achana na kuikumbuka! Hauwezi pata namna ya kuuza nyumba ya vile.	Achana na kuikumbuka! Hauwezi pata namna ya kuuza nyumba ya vile.
Je ne pense pas que des enfants devraient boire de la bière.	Siwaze kama watoto wanapashwa kunywa pombe.	Siwaze kama watoto wanapashwa kunywa pombe.
Qu'as-tu l'intention de faire ?	Nini njo unataka fanya?	Nini njo unataka fanya?
Est-ce que ça en valait la peine?	Ilikuwa ya maana?	Ilikuwa ya maana?
Je suis chez une amie.	Niko kwa rafiki yangu.	Niko kwa rafiki yangu.
Un jour, tu le regretteras.	Siku moja utajuta kuhusu hiyo.	Siku moja utajuta kuhusu hiyo.
Tu es très timide.	Uko kimia sana.	Uko kimia sana.
Nous n'en sommes pas fiers.	Hatujivunie ile.	Hatujivunie ile.
Ne perdras-tu pas la raison ?	Hautapoteza akili ?	Hautapoteza akili ?
Je ne peux pas faire ça.	Siwezi fanya vile.	Siwezi fanya vile.
J'ai besoin de ça.	Niko na lazima nayo..	Niko na lazima nayo..
Il va peut-être neiger ce soir.	Labda kuta kuwa neige itamwangika leo mangaribi.	Labda kuta kuwa neige itamwangika leo mangaribi.
De combien de temps disposes-tu pour déjeuner ?	Uko na muda gani kwa kukula chakula cha mchana?	Uko na muda gani kwa kukula chakula cha mchana?
C'est tout ce que nous pouvons faire pour le moment.	Njo yote hii yenyi tunaweza fanya kwa saa hii.	Njo yote hii yenyi tunaweza fanya kwa saa hii.
As-tu jamais trouvé réponse à cette question ?	Ulishaka pata jibu ya hii ulizo?	Ulishaka pata jibu ya hii ulizo?
Mes amis m'ont invité à dîner.	Warafiki wangu walinialika kwenda kula chakula ya mangaribi.	Warafiki wangu walinialika kwenda kula chakula ya mangaribi.
Restez calme !	Bakia kimia!	Bakia kimia!
Reprenons un peu notre souffle !	Tuvute hewa kidogo kidogo!	Tuvute hewa kidogo kidogo!
Je pense que Tom croit tout ce que Marie lui dit.	Minawaza Tom anasadikiaka kila kitu yenye Marie anamwambia.	Minawaza Tom anasadikiaka kila kitu yenye Marie anamwambia.
Je vous laissai une note.	Nilikuachia barua.	Nilikuachia barua.
Ton arme est-elle chargée ?	Bunduki yako iko charger?	Bunduki yako iko charger?
Elle se tint près de lui.	Akasimama pembeni yake.	Akasimama pembeni yake.
J'ai pensé que tu serais intéressé par cela.	Niliwaza utakua interessé na ile.	Niliwaza utakua interessé na ile.
Nous nous embrassâmes.	Tukapeana busu.	Tukapeana busu.
Dis-moi, dis-moi !	Niambie, Niambie !	Niambie, Niambie !
D'où venez-vous au Canada ?	Munatokeya wapi Canada?	Munatokeya wapi Canada?
Avec toi, c'est l'été toute l'année.	Na wewe, ni kifukutu mwaka mzima.	Na wewe, ni kifukutu mwaka mzima.
Je veux changer le monde.	Nitageuza dunia.	Nitageuza dunia.
Il essaie de se débarrasser des fourmis.	Anajaribu kujitoshako siyafu.	Anajaribu kujitoshako siyafu.
Le poison s'est répandu dans tout le corps.	Sumu iliingiya ndani ya mwili yote.	Sumu iliingiya ndani ya mwili yote.
J'ai peut-être heurté ses sentiments.	Labda nilivunja sentiments zake.	Labda nilivunja sentiments zake.
Je ne comprends pas pourquoi tu ne veux pas faire ça.	Misielewi ju ya nini haupendi fanya vile.	Misielewi ju ya nini haupendi fanya vile.
Je crains de ne pas avoir d'expérience.	Niko na wasiwasi ya kustokuwa na uzoefu.	Niko na wasiwasi ya kustokuwa na uzoefu.
Fais juste ce que je dis !	Fanya tu byenyi ninasema.	Fanya tu byenyi ninasema.
Tom doit être puni pour ce qu'il a fait.	Tom anapashwa pata malipizi ju ya byenyi alifanya.	Tom anapashwa pata malipizi ju ya byenyi alifanya.
Je ne crois pas que Tom ait fait ses devoirs lui-même.	Siamini kama Tom alifanya devoirs zake yepeke.	Siamini kama Tom alifanya devoirs zake yepeke.
Tom a montré à Marie la photo.	Tom alionesha Marie ile picha.	Tom alionesha Marie ile picha.
Tom ferait n'importe quoi pour attirer l'attention de Marie.	Tom anaweza fanya kila kitu kyenyi kinawezekana kusudi Marie amusikie.	Tom anaweza fanya kila kitu kyenyi kinawezekana kusudi Marie amusikie.
Personne ne se soucie de moi.	Hakuna mwenyi ananiangaikia.	Hakuna mwenyi ananiangaikia.
Les animaux ne sont pas des jouets !	Wanyama haiko vitu vya kucheza navyo! Nyama haziko ma jouets!	Wanyama haiko vitu vya kucheza navyo! Nyama haziko ma jouets!
Mon père a arrêté de fumer récemment.	Baba aliacha kuuta siku zilizo pita.	Baba aliacha kuuta siku zilizo pita.
Je veux simplement que les gens m'aiment.	Nataka tu watu wanipende.	Nataka tu watu wanipende.
La fille s'efforçait de retenir ses larmes.	Binti alijikaza asilie.	Binti alijikaza asilie.
Laissez-moi vérifier le manuel.	Acha nichunguze kitabu.	Acha nichunguze kitabu.
Cet incendie de forêt a une origine naturelle.	Hii moto ya msitu ilisababishwa na jambo ya kawaida.	Hii moto ya msitu ilisababishwa na jambo ya kawaida.
Tom va le faire à temps.	Tom ataifanya kwa wakati.	Tom ataifanya kwa wakati.
Tom a demandé un conseil à Maria.	Tom aliomba shauri kwa Marie.	Tom aliomba shauri kwa Marie.
Je sais que Tom est à moitié endormi.	Najua Tom amelala nusu.	Najua Tom amelala nusu.
Je ne pense pas que ce soit le meilleur moment pour parler à Tom.	Siwazie kama ni wakati ya mzuri ya kuongelesha Tom.	Siwazie kama ni wakati ya mzuri ya kuongelesha Tom.
Si elle avait été en vie, ma mère m'aurait aidé à ce moment-là.	Mamangu angelikuwa angali anaishi, kama angelinisaidia kwa wakati ile.	Mamangu angelikuwa angali anaishi, kama angelinisaidia kwa wakati ile.
La police enquête sur les causes de l'accident.	Polisi wanachunguza sababu za ile ajali.	Polisi wanachunguza sababu za ile ajali.
Ce garçon a un corps fort et sain.	Kijana huyu ana mwili wa nguvu na ana afia.	Kijana huyu ana mwili wa nguvu na ana afia.
Le studio est très petit, sans lieu où se cacher.	Studio ni ya kidogo sana, hakuna fasi ya kujificha.	Studio ni ya kidogo sana, hakuna fasi ya kujificha.
Je pensais que tu voudrais peut-être savoir.	Niliwaza labda ulitaka kujuwa.	Niliwaza labda ulitaka kujuwa.
Soyez vu par moi !	Nibaone!	Nibaone!
Tom sortit un crayon.	Tom akatosha crayon.	Tom akatosha crayon.
Les personnes âgées ont besoin de vivre pour quelqu'un.	Wazee wanahitaji kuishi sababu ya mtu.	Wazee wanahitaji kuishi sababu ya mtu.
Quelle est le sens de cela ?	Ile inamaanisha nini?	Ile inamaanisha nini?
Le temps est vraiment mauvais.	Wakati iko mbaya kabisa.	Wakati iko mbaya kabisa.
Je suis très intéressé d'entendre ce que tu as à dire.	Ninapeda nisikie nini yenyi unataka sema.	Ninapeda nisikie nini yenyi unataka sema.
Croyez-vous vraiment nécessaire de faire cela ?	Unawaza kabisa ni lazima kufanya vile?	Unawaza kabisa ni lazima kufanya vile?
Ils se nourrissent surtout de lait.	Wanakulaka maziwa sana sana.	Wanakulaka maziwa sana sana.
Je ne suis qu'un garçon qui fait des erreurs.	Niko tu kijana mwenyi anafanyaka tu makosa.	Niko tu kijana mwenyi anafanyaka tu makosa.
Il changea d'avis.	Akabadilisha mawazo.	Akabadilisha mawazo.
Peux-tu m'indiquer la bonne direction ?	Unaweza nionesha njia ya mzuri?	Unaweza nionesha njia ya mzuri?
Tom est tombé dans l'eau.	Tom aliangukia ndani ya maji.	Tom aliangukia ndani ya maji.
Tu sais que Tom aime la bière.	Unajuwa kama Tom anapendaka pombe.	Unajuwa kama Tom anapendaka pombe.
Nous sommes sérieux.	Tunakuwaka serieux.	Tunakuwaka serieux.
Je bois.	Ninakunywaka.	Ninakunywaka.
Je ne veux pas être votre secret.	Sitaki kukuwekea siri.	Sitaki kukuwekea siri.
Nous avons une bonne nouvelle.	Tuka na habari ya mzuri.	Tuka na habari ya mzuri.
Il viendra bientôt.	Atakuja hivi karibuni.	Atakuja hivi karibuni.
Plus de recherches sont nécessaires.	Utafiti ya zaidi inahitajika.	Utafiti ya zaidi inahitajika.
J'ai entendu ça.	Nilisikia vile.	Nilisikia vile.
Je ne pouvais rien y faire.	Hakuna kyenyi ningeliweza kufanya.	Hakuna kyenyi ningeliweza kufanya.
Pourquoi ne nous glissons-nous pas à nouveau à l'intérieur ?	Kwa nini hatuingiye tena ndani?	Kwa nini hatuingiye tena ndani?
Tom se donne beaucoup de mal.	Tom anajisumbua sana.	Tom anajisumbua sana.
Elle parle anglais.	Anaongea kingereza.	Anaongea kingereza.
Vues d'avion, les petites collines paraissent plates.	Ukiangalilia kutokea mu avion, milima ya kidogo inaonekanaka plat.	Ukiangalilia kutokea mu avion, milima ya kidogo inaonekanaka plat.
Nous tentons de réduire les dépenses.	Tunajaribu kupunguza garama.	Tunajaribu kupunguza garama.
Tu as dit qu'il y avait urgence.	Ulisema kuko urgence.	Ulisema kuko urgence.
Est-ce vraiment possible ?	Inawezekana kweli?	Inawezekana kweli?
Tom a été surpris par ce qu'il a vu.	Tom alishangazwa na byenye aliona.	Tom alishangazwa na byenye aliona.
Tu veux bien me passer le sel, s'il te plaît?	Tafadhali, unaweza nipokeza chumvi?	Tafadhali, unaweza nipokeza chumvi?
En grandissant, il apprit à mettre les choses en perspective.	Alipokuwa anakomala, alijifunza kukuwa na matumaini ku mambo ya kesho.	Alipokuwa anakomala, alijifunza kukuwa na matumaini ku mambo ya kesho.
Vous n'avez à l'évidence pas le temps.	Ni wazi hamuna wakati.	Ni wazi hamuna wakati.
L'opéra commence à sept heures.	Opera itaanza na saa moya.	Opera itaanza na saa moya.
Nous ne pouvons pas continuer à nous abuser.	Hatuwezi endelea tunakwazana.	Hatuwezi endelea tunakwazana.
C'est un risque que tu dois simplement prendre.	Ni hatari yenyi ni lazima uichukue.	Ni hatari yenyi ni lazima uichukue.
C'est étrange à dire, mais il ne connaissait pas la nouvelle.	Inashangaza kusema, lakini hakukwa anajuwa ile habari.	Inashangaza kusema, lakini hakukwa anajuwa ile habari.
Tom fut promu gérant.	Tom alipandishwa cheo ya kuwa gérant.	Tom alipandishwa cheo ya kuwa gérant.
Lire des livres est une de mes habitudes.	Kusoma vitabu ni moja ya tabia zangu.	Kusoma vitabu ni moja ya tabia zangu.
Tom a coupé la pomme en deux.	Tom alikata pome vipande mbili.	Tom alikata pome vipande mbili.
Le fait est qu'ils sont trop jeunes.	Shida ni juu bangali vijana.	Shida ni juu bangali vijana.
Il a dû y aller.	Ilimubidi aende kule.	Ilimubidi aende kule.
Qui frappe à la porte?	Nani njo anapiga hodi ku mulango?	Nani njo anapiga hodi ku mulango?
Tom n'a pas suffisamment d'argent pour acheter une voiture.	Tom hana franga ya kutosha kwa kusema auze gari.	Tom hana franga ya kutosha kwa kusema auze gari.
Je me demande si je peux faire ça.	Najiuliza kama ndaweza fanya vile.	Najiuliza kama ndaweza fanya vile.
Tom m'a demandé comment se rendre à la poste.	Tom aliniuliza namna gani mtu ataweza fika ku poste.	Tom aliniuliza namna gani mtu ataweza fika ku poste.
Nous espérions que quelque chose d'intéressant surviendrait.	Tulikuwa na matumaini kama kitu ca maana kitatokea.	Tulikuwa na matumaini kama kitu ca maana kitatokea.
Il n'est pas facile de maîtriser l'anglais.	Siyo rahisi kujua kingereza.	Siyo rahisi kujua kingereza.
Voudriez-vous me porter ceci au premier étage ?	Unaweza kunipelekea hii ku etage ya kwanza?	Unaweza kunipelekea hii ku etage ya kwanza?
La valeur des livres était telle qu'on en prenait le plus grand soin.	Samani ya vitabu ilikuwa gisi tulikuwa nazichunga muzuri sana.	Samani ya vitabu ilikuwa gisi tulikuwa nazichunga muzuri sana.
Il n'y a que cinq-cent-quatorze personnes qui soient allées dans l'espace.	Kuko watu mia tano na kumi na ine waliyo enda angani.	Kuko watu mia tano na kumi na ine waliyo enda angani.
Combien de temps faut-il d'ici à la gare ?	Hapa na ku parking ni muda wa saa ngapi?	Hapa na ku parking ni muda wa saa ngapi?
Il avait dit qu'il m'écrirait, mais il n'en fut rien.	Alisemaka ataweza niandikiya lakini hakufanya kitu.	Alisemaka ataweza niandikiya lakini hakufanya kitu.
Tom et Marie n'ont pas été particulièrement gentils avec moi.	Tom na Marie hawakuwa watu wanzuri kwangu.	Tom na Marie hawakuwa watu wanzuri kwangu.
Bien qu'il soit jeune, il est très prudent.	Hata kama angali kijana, iko makini sana.	Hata kama angali kijana, iko makini sana.
Voulez-vous contrôler les pneus ?	Unaweza kuchunguza ma pine?	Unaweza kuchunguza ma pine?
Tu n'aimes pas le chien de Tom.	Haupendake imbwa ya Tom.	Haupendake imbwa ya Tom.
Je n'ai pas du tout peur des chiens.	Sina kabisa woga wa imbwa.	Sina kabisa woga wa imbwa.
Je devais rencontrer quelqu'un pour des affaires.	Nalipashwa kutana na mtu kwa ajili ya biashara.	Nalipashwa kutana na mtu kwa ajili ya biashara.
Quel âge a ce livre?	Hiki kitabu kina miaka ngapi?	Hiki kitabu kina miaka ngapi?
La plupart des gens aiment regarder la telé.	Watu wengi wanapendaka kuangalia télé.	Watu wengi wanapendaka kuangalia télé.
Nous sommes pauvres, mais heureux.	Sisi tuko ba masikini, lakini tuko na raha.	Sisi tuko ba masikini, lakini tuko na raha.
Je parle anglais, et toi, quelle langue parles-tu ?	Minaongea Kingereza, na weye, unaongea luga gani?	Minaongea Kingereza, na weye, unaongea luga gani?
Quel sorte de jeu est-ce ?	Iyi ni mchezo gani?	Iyi ni mchezo gani?
Mon père travaille dans une usine.	Baba anatumikaka mu kiwanda.	Baba anatumikaka mu kiwanda.
Il aime lire des livres.	Anapendaka soma bitabu.	Anapendaka soma bitabu.
La vie n'est pas figée.	Maisha inakuwaka na milima na mabonde.	Maisha inakuwaka na milima na mabonde.
Il posa le livre sur la table.	Akatia kitabu ku meza.	Akatia kitabu ku meza.
Bien qu'il ne fût qu'un enfant, il était très courageux.	Hata kama alikuwa mtoto, alikuwa na juhudi.	Hata kama alikuwa mtoto, alikuwa na juhudi.
Regarde ces nuages noirs.	Angalia ile mawingu ya mweusi.	Angalia ile mawingu ya mweusi.
Pourquoi les hommes ne sont-ils jamais heureux ? Parce qu'ils veulent toujours l'impossible.	Sababu gani wanaume hawakuwake na raha? Kwa sababu kila wakati wanatafuta visivyo wezekana.	Sababu gani wanaume hawakuwake na raha? Kwa sababu kila wakati wanatafuta visivyo wezekana.
On est ici, à l'office de tourisme. Vous voyez ?	Tuko hapa ku bureau yenyi inausika na ba touristes. Unaona?	Tuko hapa ku bureau yenyi inausika na ba touristes. Unaona?
Il est revenu du Canada.	Anatokeya Canada.	Anatokeya Canada.
Ils sont en salle des professeurs.	Wako mu salle ya walimu.	Wako mu salle ya walimu.
Nous y allons seuls.	Tunapaenda sisi wenyewe.	Tunapaenda sisi wenyewe.
Mon front brûlait de fièvre.	Sura yangu inalungula na homa.	Sura yangu inalungula na homa.
Dan a été vu pour la dernière fois avec un jean bleu et une veste en cuir noir.	Dan alionekana kwa mara ya mwisho na Jean ya rangi ya bleu na koti ya ngozi ya mweusi.	Dan alionekana kwa mara ya mwisho na Jean ya rangi ya bleu na koti ya ngozi ya mweusi.
Elle vivait la porte à côté de chez nous.	Alikuwa naishi mu mulango ya pembeni ya kwetu.	Alikuwa naishi mu mulango ya pembeni ya kwetu.
Sa mère a frappé à la porte.	Mama yake aligonga ku mlango.	Mama yake aligonga ku mlango.
Je ne peux pas l'abandonner.	Siwezi kumuachilia.	Siwezi kumuachilia.
Nous n'avons aucune raison d'avoir honte.	Hatuna hata sababu moya ya kusikia haya.	Hatuna hata sababu moya ya kusikia haya.
À sept heures je serai de nouveau là.	Na saa moya nitakuwa tena pale.	Na saa moya nitakuwa tena pale.
Elle n'est plus seule maintenant.	Haiko yeye peke tena.	Haiko yeye peke tena.
Nous tînmes parole.	Tukakamata kauli.	Tukakamata kauli.
Qu'est-ce qui se passe, ici ?	Nini njo iko napitikana hapa?	Nini njo iko napitikana hapa?
L'as-tu fait toi-même ?	Uliifanya wepeke?	Uliifanya wepeke?
C'est la vie.	Ni maisha.	Ni maisha.
Oh ! c'est trop mignon !	Oh, ni muzuri sana!	Oh, ni muzuri sana!
Je n'ai pas envie de rentrer à la maison!	Sina hata haja yakurudia ku nyumba.	Sina hata haja yakurudia ku nyumba.
Je ne savais pas que Tom dormait.	Nilikuwa sijuwe kama Tom alikuwa analala.	Nilikuwa sijuwe kama Tom alikuwa analala.
De quoi avez-vous peur ?	Unaogopa nini?	Unaogopa nini?
Dans cette boîte, je me sentais comme un poisson hors de l'eau.	Ndani ya hiyo sanduku, nilikuwa na jisikia savile samaki inje ya maji.	Ndani ya hiyo sanduku, nilikuwa na jisikia savile samaki inje ya maji.
Je pense que Tom est blessé.	Nawaza Tom analumia.	Nawaza Tom analumia.
La vie est dure pour tout le monde.	Maisha iko magumu kwa kila mutu.	Maisha iko magumu kwa kila mutu.
J'ai peur des ours.	Nina woga ya nyama za pori.	Nina woga ya nyama za pori.
Elle a remporté le premier prix de la course.	Alishinda mcezo ya kwanza ya kukimbia.	Alishinda mcezo ya kwanza ya kukimbia.
J'ai du travail par-dessus la tête.	Niko na kazi ya mingi sana.	Niko na kazi ya mingi sana.
N'as-tu pas une réunion ?	Hauna mkutano?	Hauna mkutano?
Monte le son de la musique !	Pandisha sauti ya muziki!	Pandisha sauti ya muziki!
Tu vas manquer le train si tu ne te dépêches pas.	Utakosa gari la moshi kama haufanyi haraka.	Utakosa gari la moshi kama haufanyi haraka.
Non, ça ne me plait pas tant que ça.	Hapana, hainifurahishe mpaka kwa ile niveau.	Hapana, hainifurahishe mpaka kwa ile niveau.
Peut-être a-t-il manqué le train.	Labda alikosa train.	Labda alikosa train.
Puis-je savoir où vous travaillez ?	Naweza kujuwa unatumikaka wapi?	Naweza kujuwa unatumikaka wapi?
Les progrès de l'homme sont sans limites.	Maendeleo ya mwanadamu haina mipaka.	Maendeleo ya mwanadamu haina mipaka.
Je vous demande pardon. Je ne pense pas que cela soit votre siège.	Nakuomba musamaha. Sizani kama ile ni fasi yako.	Nakuomba musamaha. Sizani kama ile ni fasi yako.
Tom aurait dû manger plus.	Tom angelipashwa kula mingi zaidi.	Tom angelipashwa kula mingi zaidi.
C'est de la faute de Tom.	Ile ni kosa ya Tom.	Ile ni kosa ya Tom.
Nous mangeâmes des fruits frais après le déjeuner.	Kisha cakula ca mcana, tulikula matunda yenyi walikuwa wanamaliza cuma pale pale.	Kisha cakula ca mcana, tulikula matunda yenyi walikuwa wanamaliza cuma pale pale.
Il n'est rien d'autre qu'un enfant.	Yeye haiko kitu ingine isipokuwa mtoto tu.	Yeye haiko kitu ingine isipokuwa mtoto tu.
Mets de l'eau dans ton vin.	Tulizana kidogo.	Tulizana kidogo.
C'était pour rire ?	Ilikuwa kwa kuchekesha tu?	Ilikuwa kwa kuchekesha tu?
Je veux fonder une famille.	Nataka kujenga jamaa.	Nataka kujenga jamaa.
Quel est ton restaurant de fast food préféré?	Ni restaurant gani ya chakula cha mbio mbio unapendaka?	Ni restaurant gani ya chakula cha mbio mbio unapendaka?
Un café, ça te dirait ?	Ungependa kutumia kahawa?	Ungependa kutumia kahawa?
Je viens juste d'apprendre que mon hôtel favori a fait faillite.	Minapata habari kama hoteli yangu napendaka walihomba.	Minapata habari kama hoteli yangu napendaka walihomba.
Un jour tu comprendras.	Siku moja utaelewa.	Siku moja utaelewa.
Je me rappelle l'avoir rencontrée quelque part.	Nakumbuka kama kuko kwenye nilishaka kutanana naye.	Nakumbuka kama kuko kwenye nilishaka kutanana naye.
Reste hors de ma vue !	Potea mu macho yangu!	Potea mu macho yangu!
Combien y a-t-il de sortes ?	Kuna aina ngapi?	Kuna aina ngapi?
J'ai dansé.	Nilicheza.	Nilicheza.
S'il a eu dix sur dix à l'examen, c'est parce qu'il a triché.	Kama alipata kumi juya kumi ku mashindano, ni sababu aliiba.	Kama alipata kumi juya kumi ku mashindano, ni sababu aliiba.
Tom a gardé son chapeau sur la tête.	Tom aliweka kofia yake ku kichwa.	Tom aliweka kofia yake ku kichwa.
Je n'ai jamais dit cela à personne auparavant.	Siyaambiaka hata mutu moya vile mbele.	Siyaambiaka hata mutu moya vile mbele.
La pire amie et ennemie n'est nulle autre que la mort.	Rafiki na adui wa kutisha siyo mwengine isipokuwa kifo.	Rafiki na adui wa kutisha siyo mwengine isipokuwa kifo.
Femme au volant, mort au tournant.	Mwanamuke akitembeza gari, ajali inatokeaka.	Mwanamuke akitembeza gari, ajali inatokeaka.
« J'ai rêvé de toi, hier. » « Sérieux ? Et je faisais quoi ? »	«Nilikulota jana.» «Kweli? Na nilikuwa nafanya nini?»	«Nilikulota jana.» «Kweli? Na nilikuwa nafanya nini?»
